"MB748531    ","LONESTAR                      ","541 ARNOLD BLVD               ","ABILENE             ","TX","79605","221","          ","2017/01", 000000893.37
"MB415595    ","LYTLE LAND & CATTLE CO        ","1150 E SOUTH 11TH ST          ","ABILENE             ","TX","79602","221","          ","2017/02", 000001815.83
"MB723936    ","MARTIN D DENSON VFW POST 6873 ","1049 VETERANS DRIVE           ","ABILENE             ","TX","79605","221","          ","2017/02", 000001395.07
"MB827443    ","MC SPORTS BAR AND TAQUERIA    ","4025 N 1ST ST                 ","ABILENE             ","TX","79603","221","          ","2017/02", 000001745.68
"MB887649    ","MIGUEL'S MEX TEX CAFE         ","3001 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2017/02", 000003483.46
"MB409136    ","MY PLACE                      ","5695 S 1ST ST - ROYAL INN     ","ABILENE             ","TX","79605","221","          ","2017/02", 000000553.75
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2015/11", 000002216.76
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2015/12", 000002427.41
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/02", 000002856.81
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/03", 000002443.62
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/04", 000001615.97
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/05", 000002260.37
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/06", 000002204.97
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/07", 000001787.35
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/08", 000001594.66
